許可證字號,中文品名,英文品名,形狀,特殊劑型,顏色,特殊氣味,刻痕,外觀尺寸,標註一,標註二,外觀圖檔連結
"內衛藥製字第001790號","""強生""抑炎錠200毫克","MUSCOL TABLETS 200MG ""JOHNSON""","圓形","","綠","","直線","9","JCP F2","","https://mcp.fda.gov.tw/insert/shapeImg/866a04b1-44b6-4b18-a4b3-9fd0f7fb5587?c=o"
"內衛藥製字第001794號","""強生""滯尿通錠10毫克","BETHANECHOL CHLORIDE TABLETS 10MG ""JOHNSON""","三角形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/d9efa637-3f36-48b8-8f50-598a0786e96d?c=o"
"內衛藥製字第001796號","""強生""甲基睪丸素錠１０公絲","METHYLTESTOSTERONE TABLETS 10MG ""JOHNSON""","圓形","","白","","直線","6","I 5","","https://mcp.fda.gov.tw/insert/shapeImg/ea027688-1d1b-42e7-85eb-5754d0504124?c=o"
"內衛藥製字第001807號","""強生""倍樂寧－Ｒ錠","PELONINE-R TABLETS ""JOHNSON""","五邊形","","黃","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/a4c02618-aaa6-4f0d-a483-94dc87cc3d57?c=o"
"內衛藥製字第001808號","""強生""次碳酸鉍錠324毫克","BISMUTH SUBCARBONATE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","10","","","https://mcp.fda.gov.tw/insert/shapeImg/6ced5885-7995-4b09-a0be-25e42c9439e9?c=o"
"內衛藥製字第001811號","""強生"" 妳樂淨內服膜衣錠","METROZOLE ORAL F.C. TABLETS ""JOHNSON""","圓形","","白","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/cbc7b4e5-f495-4dcc-8711-f537f484879f?c=o"
"內衛藥製字第001816號","""強生""氫氧化鎂錠324毫克","MAGNESIUM HYDROXIDE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","12","","","https://mcp.fda.gov.tw/insert/shapeImg/c5c12370-a151-48d6-8f73-9ee0872e547e?c=o"
"內衛藥製字第001820號","""強生""妙治胃錠","BENTYLINE TABLETS ""JOHNSON""","圓形","","白","","直線","12","JCP K22","","https://mcp.fda.gov.tw/insert/shapeImg/21741d62-a410-4e7c-b5f1-d9968a537e67?c=o"
"內衛藥製字第001821號","“強生”鹽酸口比多辛錠５０毫克","PYRIDOXINE HCL TABLETS 50MG ""JOHNSON""","圓形","","白","","無","7.2","JCP","O11","https://mcp.fda.gov.tw/insert/shapeImg/a23a8944-5fe1-4e79-b407-9e24f3721bef?c=o"
"內衛藥製字第001822號","維他葡萄糖鐵糖衣錠","FERROUS GLUCO-B S.C. TABLETS","圓形","","紫","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/97476781-4feb-4c91-8c68-47f6bd3ee1e5?c=o"
"內衛藥製字第001849號","""強生""抑咳平錠10毫克","DELCOPAN TABLETS 10MG ""JOHNSON""","圓形","","白","","無","8","","","https://mcp.fda.gov.tw/insert/shapeImg/df64f64f-8d90-4679-b4e7-a37a3001891d?c=o"
"內衛藥製字第002213號","""強生"" 倍樂寧錠","PELONINE TABLETS ""JOHNSON""","圓形","","白","","直線","7.2","I 13","JCP","https://mcp.fda.gov.tw/insert/shapeImg/3ecfc2ed-964c-4779-b733-d21cd5382f5e?c=o"
"內衛藥製字第002253號","""大豐""舒肝膽錠50毫克","URSOCID TABLETS ""T.F.""","圓形","","白","","直線","9","TF UC","","https://mcp.fda.gov.tw/insert/shapeImg/083d0f85-c2c2-423a-a6a8-797f0acf32e5?c=o"
"內衛藥製字第002347號","旅佳錠","LIGA TABLETS","圓形","","黃","","無","8","M","","https://mcp.fda.gov.tw/insert/shapeImg/73c84b77-6973-43a3-9fb1-2b08fa098114?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/93dd5957-0d3d-48b4-bc8f-cff004c0d0af_img_1?c=o"
"內衛藥製字第002473號","""福元"" 恩得美膠囊25毫克","INDOME CAPSULES 25MG ""F.Y.""","膠囊","","藍;;;白","","無","16","FY C008","","https://mcp.fda.gov.tw/insert/shapeImg/265ce80e-872b-4ede-a8bc-889d4f0c63d0?c=o"
"內衛藥製字第002589號","""強生""鹽酸罌生僉錠３０公絲","PAPAVERINE HCL TABLETS 30MG ""JOHNSON""","橢圓形","","粉","","直線","10.1","","","https://mcp.fda.gov.tw/insert/shapeImg/ec9ae265-4019-411c-8041-b1b9c4135a53?c=o"
"內衛藥製字第002596號","胃治平錠","NEO-WEITUPIN TAB","圓形","","綠","","直線","10","H H P CO LTD","","https://mcp.fda.gov.tw/insert/shapeImg/31eeed38-0ce9-4dc7-99df-4934d67fc196_img_1?c=o"
"內衛藥製字第002597號","克利斯錠25毫克","KOLISIDE TABLETS 25MG","圓形","","白","","直線","7","H H P","","https://mcp.fda.gov.tw/insert/shapeImg/09a03bc2-47d3-4997-9b40-1a295bd41664_img_1?c=o"
"內衛藥製字第003159號","奧林比克荷爾蒙膠囊","OLYMPIC HORMONE CAPSULES","膠囊","","橘;;;白","","無","22","","OLYMPIC HORMONE","https://mcp.fda.gov.tw/insert/shapeImg/2bef9ce5-7a49-4d01-b9e9-a9c635511464?c=o"
"內衛藥製字第003449號","""應元""塩酸麻黃/錠２５毫克","TABELLAE EPHEDRINI HYDROCHLORIDI ""Y.Y.""","圓形","","粉","","無","7","Y P","103","https://mcp.fda.gov.tw/insert/shapeImg/f1f7375e-4344-496c-93cc-9176f7906d29?c=o"
"內衛藥製字第003633號","氨基非林錠","TABELLAE AMINOPHYLLINAE 100mg ""Y.Y.""","圓形","","白","","直線","8","YP 109","","https://mcp.fda.gov.tw/insert/shapeImg/a40a2b0e-066a-4bf1-9d75-c0f57e8b4f49_img_1?c=o"
"內衛藥製字第003676號","""強生"" 速入眠錠","SLEEPIN TABLETS ""JOHNSON""","三角形","","藍","","直線","6.2","","","https://mcp.fda.gov.tw/insert/shapeImg/fdc12429-6698-49ea-b208-552198dd4d4f?c=o"
"內衛藥製字第003893號","培他旺糖衣錠","PEITAON S.C. TABLETS","圓形","","紅","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/a0bd0cfe-313a-4100-9dfb-a14f5cfa73b0?c=o"
"內衛藥製字第004085號","合利他命Ｆ５０糖衣錠","ALINAMIN-F 50 S.C. TABLETS","圓形","","黃","","無","9","F50","","https://mcp.fda.gov.tw/insert/shapeImg/43e89810-7a72-4a4b-bdda-7eda5c11d11e?c=o"
"內衛藥製字第004189號","""強生""康胃錠","S.T. TABLETS ""JOHNSON""","圓形","","黃","","直線","10","","","https://mcp.fda.gov.tw/insert/shapeImg/cbd352c4-0136-43aa-b9cb-03290fe71309?c=o"
"內衛藥製字第004385號","“強生”穩舒眠膜衣錠12.5毫克","WINSUMIN F.C. Tablets 12.5mg","圓形","","紫","","直線","8.2","","","https://mcp.fda.gov.tw/insert/shapeImg/80fcd970-3780-4e60-8dd3-8f8479a75c90?c=o"
"內衛藥製字第004492號","“華琳”袪風濕龍錠","PRESOLONE TABLETS “H.L.”","圓形","","白","","無","7","FY T015","","https://mcp.fda.gov.tw/insert/shapeImg/97953ef2-6447-42fd-9369-69f95fda6bb3?c=o"
"內衛藥製字第004512號","“福元”得美爽錠０．５毫克","DEMESON TABLETS 0.5MG ""F.Y.""","圓形","","橘","","無","7","FY T008","","https://mcp.fda.gov.tw/insert/shapeImg/2e57cbae-4e8f-4b93-9c70-86b897124190?c=o"
"內衛藥製字第004781號","美克旅鎮錠25毫克","Meclizine HCl Tablets 25mg ""F.Y.""","圓形","","白","","無","8","FY T069","","https://mcp.fda.gov.tw/insert/shapeImg/fe235438-489a-4c2b-b1df-9e249841ee1b?c=o"
"內衛藥製字第004875號","""強生"" 大安源錠２毫克","DIAPINE TABLETS 2MG ""JOHNSON""","圓形","","白","","無","7.2","2","","https://mcp.fda.gov.tw/insert/shapeImg/0d9f7132-70ca-4bf8-863e-bfd3aabed6e4?c=o"
"內衛藥製字第004928號","“杏輝”沛多活杏必糖衣錠","DailyCare Actibest S.C. Tablets","圓形","","黃","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/7cc32445-1a91-4e9f-9f8b-652c633e44ae_img_1?c=o"
"內衛藥製字第005014號","""衛肯"" 去氫羥腎上腺皮質素片５毫克","PREDNISOLONE 5MG TABLETS ""WELCAN""","圓形","","白","","直線","8","HC 3","","https://mcp.fda.gov.tw/insert/shapeImg/2a561550-2ff4-4e61-9438-bbe39b1f3b63?c=o"
"內衛藥製字第005038號","""強生"" 大益神膠囊","DIPOXIDO CAPSULES ""JOHNSON""","膠囊","","黑;;;綠","","無","15","","","https://mcp.fda.gov.tw/insert/shapeImg/67b80ba3-f56d-437a-99cc-0f3820fbd398?c=o"
"內衛藥製字第005040號","""強生""蘋果酸丙氯陪拉辛錠","PROCHLORPERAZINE MALEATE TABLETS ""JOHNSON""","圓形","","黃","","直線","7","JCP G3","","https://mcp.fda.gov.tw/insert/shapeImg/7ad9661c-d01f-4aaa-9bc8-ef090e2aa4c8?c=o"
"內衛藥製字第005042號","""強生"" 抑僂寧膠囊","INDOMESA CAPSULES ""JOHNSON""","膠囊","","綠;;;白","","無","14","","","https://mcp.fda.gov.tw/insert/shapeImg/68d71998-be00-43b0-a25b-f9589be89bef?c=o"
"內衛藥製字第005219號","""福元"" 得利根糖衣錠","TRICON S.C. TABLETS ""F.Y.""","圓形","","白","","無","12","","","https://mcp.fda.gov.tw/insert/shapeImg/e18b2cf1-3bee-4a02-aa18-574020f9feef?c=o"
"內衛藥製字第005226號","""福元""碳酸氫鈉片０．６公克","SODIUM BICARBONATE TABLETS 0.6 GM ""F.Y.""","圓形","","白","","無","10","FY T019","","https://mcp.fda.gov.tw/insert/shapeImg/b945fff8-ea6f-4530-ae37-10065a1a5ae9?c=o"
"內衛藥製字第005236號","比麗爽錠","PYRESON TABLETS","圓形","","黃","","無","6","FY T015","","https://mcp.fda.gov.tw/insert/shapeImg/fefdaf09-2899-4ed1-bde5-a512bf9f4640?c=o"
"內衛藥製字第005245號","""福元"" 可靜錠５毫克","COLSIN 5MG TABLETS ""F.Y.""","圓形","","黃","","直線","8","FY T029","","https://mcp.fda.gov.tw/insert/shapeImg/6df186c0-ebd5-485c-840a-cad409bcd9b4?c=o"
"內衛藥製字第005250號","胃麗菜Ｕ錠","WEIRETSAL U TABLETS","圓形","","黃","","無","11","FY T033","U","https://mcp.fda.gov.tw/insert/shapeImg/a2145d34-46c9-4d86-a36c-f3c89aafd5ae?c=o"
"內衛藥製字第005277號","""強生""益安錠","A,A. TABLETS ""JOHNSON""","圓形","","棕","","直線","11","","","https://mcp.fda.gov.tw/insert/shapeImg/3d2e672d-0bc0-4cc0-a824-431098bcf045?c=o"
"內衛藥製字第005616號","""強生""穩舒眠膜衣錠25毫克","Winsumin F.C. Tablets 25mg ""JOHNSON""","圓形","","藍","","直線","8.2","","","https://mcp.fda.gov.tw/insert/shapeImg/307816b3-1828-4709-a5fe-3df3445e844f?c=o"
"內衛藥製字第006021號","""強生"" 抑疹糖衣錠","O.G.S.C. TABLETS ""JOHNSON""","圓形","","黑","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/0f271101-c64a-4d14-841a-339d1892eb60?c=o"
"內衛藥製字第006067號","""信東""美達研注射液５０％","VITAGEN INJECTION 50%","","","","","","","","","https://mcp.fda.gov.tw/insert/shapeImg/21d5120a-0f25-43ed-b0e2-f0f5199e2327?c=o"
"內衛藥製字第007380號","合利他命－Ｆ１００糖衣錠","ALINAMIN-F 100 S.C. TABLETS","圓形","","粉;;;粉","","無","","","","https://mcp.fda.gov.tw/insert/shapeImg/63a9ec43-4845-4d8c-9dd0-f201f17070be?c=o"
"內衛藥製字第008138號","""強生""多利固財錠","TRICOZIDE TABLETS ""JOHNSON""","圓形","","紫","","直線","6.4","","","https://mcp.fda.gov.tw/insert/shapeImg/6942883b-bdb5-4652-b8e6-9330db1d966a?c=o"
"內衛藥製字第009094號","喘息錠","SMA TABLETS","圓形","","白","","無","9","YK","","https://mcp.fda.gov.tw/insert/shapeImg/763d9039-eaa0-4ed6-8c66-39fd7a6f0c08?c=o"
"內衛藥製字第010479號","""衛肯"" 氨基非林片0.1公克","AMINOPHYLLINE 0.1GM TABLETS ""WELCAN""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/c84a5c5f-b07a-44ae-bcdf-a60e97dff79e?c=o"
"內衛藥製字第011607號","""信東""去氫羥化腎上腺皮質素錠５毫克","Prednisolone Tablets ""TBC""","圓形","","粉","","直線","8","ST 401","","https://mcp.fda.gov.tw/insert/shapeImg/afd347b6-37bb-4be2-bb39-6158e34e5776?c=o"
"內衛藥製字第011749號","暈動藥","M.S.P. TABLETS ""CBC""","圓形","","黃","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/6360f761-7168-4cbd-a07b-593058b40d78_img_1?c=o"
"內衛藥製字第012122號","敏立眠膠囊","Minriman CAPSULES","膠囊","","橘;;;黃","","無","17","","","https://mcp.fda.gov.tw/insert/shapeImg/e156c5c5-9778-499b-90bf-f4e22e3b99db?c=o"
"內衛藥製字第012707號","必多命","BEETOMIN TABLETS 100MG ""CBC""","圓形","","白","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/7f3b3be4-656b-4b8b-995c-dbbc1cfd3f52_img_1?c=o"
"內衛藥製字第012714號","""生化"" 導美睡片五公絲","DOMISUI-N TABLETS 5MG ""CBC""","圓形","","白","","直線","13","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/a0751483-fb43-4135-ba85-6c941bd2ab40_img_1?c=o"
"內衛藥製字第012717號","“中生”優散痛錠","GEITON TABLETS ""CBC""","圓形","","白","","直線","12","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/f4d7ce6a-cf7c-4a6e-b41d-c1ab94239172_img_1?c=o"
"內衛藥製字第012740號","阿米諾非林片","AMINOPHYLLIN TABLETS ""CBC""","圓形","","白","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/6e2c2175-2405-4051-8791-0c52505cbaac_img_1?c=o"
"內衛藥製字第012742號","菸鹼醯胺錠","NICOTINAMIDE TABLETS ""CBC""","圓形","","白","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/0701f0b2-adfe-480e-9d14-53c13b2ed7ba_img_1?c=o"
"內衛藥製字第012914號","""強生"" 大安源錠５公絲","DIAPINE TABLETS 5MG ""JOHNSON""","圓形","","紫","","無","7.2","5","","https://mcp.fda.gov.tw/insert/shapeImg/4dc8f83b-0c2a-47f8-a6d8-bd377fd880be?c=o"
"內衛藥製字第012916號","“強生”美克利靜錠２５毫克","MECLIZINE HCL TABLETS 25MG ""JOHNSON""","五邊形","","白","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/6fbc4cbb-3513-437b-8e72-9a66d3aa8643?c=o"
"內衛藥製字第013093號","力克能片","DEXAMETHASONE TABLETS ""SENTAI""","圓形","","黃","","直線","7","STP 102","","https://mcp.fda.gov.tw/insert/shapeImg/9e083cbb-f75f-426c-b1fc-a55c3b3e5bfc?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/bd2687fe-ff4e-4f55-a788-bb0a5c6665ac_img_1?c=o"
"內衛藥製字第013404號","""井田""保您免痛錠","PREDNISOLONE TABLETS ""CHINTENG""","圓形","","白","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/a5bdc4ef-34df-4f2d-a2dc-5337f705404e?c=o"
"內衛藥製字第013419號","""應元"" 苯巴比特魯錠","PHENOBARBITAL TABLETS ""Y.Y.""","圓形","","粉","","無","6","H T","088","https://mcp.fda.gov.tw/insert/shapeImg/a1161e74-e46e-4052-98f6-b7543bec99ad_img_1?c=o"
"內衛藥製字第013550號","克暈錠","TRIMIN TABLETS ""SWISS""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/cc93c9b8-559d-4f8f-b82b-497112ca200b?c=o"
"內衛藥製字第013753號","〝約克〞普利爽錠","PRESON TABLETS ""Y.K.""","圓形","","黃","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/3f7195be-4292-413b-8204-601d8b0d3bf1?c=o"
"內衛藥製字第013906號","痛風寧片","TONFONRIN TABLETS ""SWISS""","圓形","","黃","","無","7","SWISS","","https://mcp.fda.gov.tw/insert/shapeImg/78086d67-54c0-4051-a593-cd6151b02fc3?c=o"
"內衛藥製字第013913號","""瑞士""鹽酸四環黴素膠囊250毫克","TETRACYCLINE HCL CAPSULES 250MG ""SWISS""","膠囊","","綠;;;綠","","無","20","T02","","https://mcp.fda.gov.tw/insert/shapeImg/b975c042-e4bd-491f-b9cf-284e7f97b0b0?c=o"
"內衛藥製字第014141號","""約克""口樂淨含片","COLOTIN TROCHES ""Y.K.""","圓形","","黃","","無","17","NW","5202","https://mcp.fda.gov.tw/insert/shapeImg/96e40da7-8ba5-4131-aa3d-fe7d9a2f79c9?c=o"
"內衛藥製字第014145號","""井田"" 利普眠膠囊","LIBMIN","膠囊","","黑;;;綠","","無","14","CTP S04","","https://mcp.fda.gov.tw/insert/shapeImg/c36c14bd-81ca-4db3-9a18-b8810c89affb_img_1?c=o"
"內衛藥製字第014268號","""瑞士""甲基睪丸素膠囊","METHYL TESTOSTERONE CAPSULES ""SWISS""","膠囊","","紅;;;白","","無","20","SWISS","","https://mcp.fda.gov.tw/insert/shapeImg/8f2bd0d3-6c18-4d1f-bcb4-70ca4fabd8f1?c=o"
"內衛藥製字第014296號","""瑞士""特體松片","DEXAMETHASONE ""SWISS""","五邊形","","黃","","直線","5","SWISS","","https://mcp.fda.gov.tw/insert/shapeImg/b4a1a6a3-f187-41e0-80bf-327bec1a6c78?c=o"
"內衛藥製字第014321號","肌絡舒片","REZOXIN TABLETS","圓形","","橘","","直線","9","SWISS SWISS","","https://mcp.fda.gov.tw/insert/shapeImg/8e1eaad8-bf76-43d2-8dac-0553059d396e?c=o"
"內衛藥製字第015066號","""強生""喘息寧錠","ASNIN TABLETS ""JOHNSON""","圓形","","白","","直線","9.5","JCP D9","","https://mcp.fda.gov.tw/insert/shapeImg/4781aa7a-f987-4a68-b984-63de089039a7?c=o"
"內衛藥製字第015101號","""井田"" 過敏當錠","KOVIN TONG TABLETS","圓形","","黃","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/dc44aff2-0824-43ef-a358-ba883dfaaf24?c=o"
"內衛藥製字第015235號","保你爽朗片","PREDNISOLONE TABLETS ""CHUNG MEI""","圓形","","粉","","無","8","M","","https://mcp.fda.gov.tw/insert/shapeImg/f1fa4b4b-c527-4b2d-9351-b13cea8fdf6d_img_1?c=o"
"內衛藥製字第015312號","""老虎牙子""雙蔘口服液","Double Extra oral liquid ""Laohu yatzi""","液劑(包含糖漿用粉劑)","","棕","","無","","","","https://mcp.fda.gov.tw/insert/shapeImg/8727912e-a829-4f3d-a102-99c234f01354_img_1?c=o"
"內衛藥製字第015685號","應得幸膠囊","INDERSHIN CAPSULES","膠囊","","藍綠;;;白","","無","14","CTP N03","","https://mcp.fda.gov.tw/insert/shapeImg/53790bd6-c77e-4081-abf5-ee505b37cbc9?c=o"
"內衛藥製字第016157號","意敏膜衣錠","IMINE F.C. TABLETS","圓形","","橘","","直線","7","CTP D17","","https://mcp.fda.gov.tw/insert/shapeImg/f7d1eeec-b111-497a-937e-ff3bbe5e4ddf?c=o"
"內衛藥製字第016332號","陸眠兒錠","RUMIL TABLETS","圓形","","黃","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/fa95ad01-51c0-4f05-95eb-e46eaf9baf0f_img_1?c=o"
"內衛藥製字第016644號","""井田"" 使利行膜衣錠","SURISHIA F.C. TABLETS ""CHINTENG""","圓形","","棕","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/43d251a7-4513-49ae-a07f-8719fb7177cb?c=o"
"內衛藥製字第016648號","""井田""克隆來泰錠","COLONRAITAI TABLETS","圓形","","藍","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/60138496-8cd4-45d6-bf96-6bb316c8194c?c=o"
"內衛藥製字第016650號","""井田"" 鹽酸消旋甲基麻黃鹼錠","DL-Methylephedrine HCL Tablets ""Chinteng""","圓形","","白","","直線","7","","","https://mcp.fda.gov.tw/insert/shapeImg/86e63529-4737-4bb4-bcbb-fc222bb9d752?c=o"
"內衛藥製字第016652號",""" 井田 ""次碳酸鉍錠","BISMUTH SUBCARBONATE TABLETS ""Chinteng""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/ec0b8b93-e2b7-44bc-85d8-b1098bc3573e?c=o"
